IQ,CGPA,Communication_Skills,Projects_Completed
107,6.28,8,4
97,5.37,8,0
109,5.83,1,1
122,5.75,6,1
96,7.69,10,2
96,5.32,8,0
123,6.58,8,2
111,8.76,1,2
92,6.33,8,5
108,8.6,9,1
93,8.9,6,0
93,6.51,7,4
103,9.01,6,1
71,8.4,5,2
74,7.31,1,2
91,5.8,2,3
84,7.54,10,0
104,10.01,2,4
86,8.15,9,4
78,5.56,6,2
121,8.07,3,3
96,7.11,3,3
101,8.22,10,0
78,9.17,10,2
91,7.86,2,2
101,9.45,7,2
82,8.86,1,0
105,8.48,1,4
90,5.33,10,1
95,9.61,3,3
90,9.58,1,4
127,6.1,3,1
99,7.02,9,4
84,6.51,7,4
112,9.01,9,4
81,9.11,7,4
103,5.97,9,2
70,9.27,3,4
80,5.96,7,1
102,8.86,6,1
111,6.98,2,3
102,6.39,6,5
98,5.51,3,0
95,5.89,2,1
77,8.72,5,1
89,8.16,5,1
93,5.16,2,1
115,5.14,3,0
105,5.11,8,0
73,8.48,5,5
104,8.15,8,4
94,5.18,10,5
89,7.89,4,1
109,5.5,4,1
115,9.56,6,3
113,9.38,10,3
87,8.7,5,3
95,9.96,5,3
104,8.91,9,4
114,8.73,6,2
92,7.65,3,3
97,6.17,4,3
83,6.06,9,0
82,6.3,6,5
112,8.1,8,1
120,5.58,7,4
98,6.53,1,1
115,6.87,1,2
105,6.22,10,4
90,7.61,7,2
105,9.12,2,1
123,9.11,9,0
99,8.5,10,3
123,7.51,9,1
60,7.6,2,4
112,6.04,9,3
101,9.44,9,4
95,6.16,10,2
101,5.85,6,4
70,8.5,5,0
96,5.78,10,2
105,6.69,2,5
122,5.41,6,5
92,6.11,9,1
87,6.22,3,3
92,5.57,3,3
113,8.77,4,0
104,9.39,10,4
92,7.12,4,1
107,9.85,1,5
101,5.58,2,4
114,6.76,6,5
89,5.99,5,4
95,8.52,10,0
94,7.48,4,5
78,8.41,10,2
104,9.26,9,5
103,7.77,2,2
100,7.65,8,0
96,9.19,4,0
78,6.54,9,0
93,6.74,4,4
94,8.54,2,5
87,7.96,6,5
97,6.31,9,4
106,6.74,7,1
128,7.7,1,0
102,7.5,9,4
103,5.89,6,2
98,9.57,9,5
71,9.07,2,5
99,7.62,7,0
100,8.23,8,2
136,9.09,8,3
97,5.44,5,1
104,5.88,7,3
99,7.5,7,1
82,8.76,3,0
117,5.32,2,5
111,10.37,5,1
111,7.46,4,4
86,7.23,8,2
121,6.74,5,5
78,6.1,9,4
108,8.87,7,0
132,9.6,1,3
